Thu Dec 17 14:24:39 2020    time_profiles/minecraft_old

         103193809 function calls (102946142 primitive calls) in 33.612 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
25359/6207    0.020    0.000    0.090    0.000 z3printer.py:332(<listcomp>)
       35    0.062    0.002    0.086    0.002 {built-in method builtins.print}
    31731    0.042    0.000    0.083    0.000 z3.py:455(_ctx_from_ast_arg_list)
      177    0.001    0.000    0.080    0.000 skill_classes.py:107(params)
    31003    0.052    0.000    0.077    0.000 z3core.py:1737(Z3_mk_ite)
    60670    0.048    0.000    0.076    0.000 z3printer.py:387(to_format)
    76392    0.012    0.000    0.075    0.000 {method 'get' of 'dict' objects}
    34131    0.023    0.000    0.075    0.000 z3printer.py:396(compose)
7014/2565    0.004    0.000    0.073    0.000 z3printer.py:355(flat)
    30013    0.015    0.000    0.072    0.000 z3.py:2554(_is_numeral)
  1100267    0.072    0.000    0.072    0.000 z3types.py:35(from_param)
       91    0.001    0.000    0.070    0.001 utils.py:119(simplify_disjunction)
    62352    0.047    0.000    0.070    0.000 z3.py:2974(_to_int_str)
      316    0.002    0.000    0.067    0.000 utils.py:236(solver_implies_condition)
      207    0.000    0.000    0.066    0.000 PDDLz3.py:262(<listcomp>)
      207    0.001    0.000    0.066    0.000 PDDLz3.py:111(z3_identical)
     4734    0.002    0.000    0.062    0.000 z3printer.py:341(flat)
    35471    0.034    0.000    0.059    0.000 z3core.py:2687(Z3_get_decl_name)
    35471    0.034    0.000    0.059    0.000 z3core.py:2532(Z3_get_symbol_kind)
    14395    0.009    0.000    0.057    0.000 z3.py:2159(subsort)
    40338    0.021    0.000    0.055    0.000 z3printer.py:312(__init__)
    30013    0.033    0.000    0.054    0.000 z3core.py:2827(Z3_is_numeral_ast)
 1995/733    0.003    0.000    0.053    0.000 PDDLz3.py:163(compile_expression)
    32256    0.029    0.000    0.049    0.000 z3core.py:1597(Z3_mk_bool_sort)
     4310    0.002    0.000    0.049    0.000 z3printer.py:383(fits)
      270    0.001    0.000    0.049    0.000 z3.py:1700(And)
      322    0.000    0.000    0.048    0.000 z3.py:6604(add)
22790/4310    0.020    0.000    0.048    0.000 z3printer.py:323(space_upto_nl)
    58717    0.031    0.000    0.046    0.000 z3printer.py:410(_len)
      322    0.002    0.000    0.046    0.000 z3.py:6585(assert_exprs)
    63152    0.029    0.000    0.046    0.000 z3core.py:69(_str_to_bytes)
      365    0.001    0.000    0.046    0.000 z3.py:1124(_coerce_expr_list)
       86    0.000    0.000    0.043    0.001 PDDLz3.py:45(action2precondition)
     6207    0.015    0.000    0.043    0.000 z3printer.py:416(seq)
    11281    0.003    0.000    0.038    0.000 z3.py:949(__hash__)
   120471    0.028    0.000    0.037    0.000 z3.py:2498(is_arith)
6919/2470    0.002    0.000    0.035    0.000 z3printer.py:353(space_upto_nl)
    37628    0.024    0.000    0.034    0.000 z3core.py:83(_to_pystr)
    11281    0.003    0.000    0.034    0.000 z3.py:329(__hash__)
     3961    0.003    0.000    0.034    0.000 skill_classes.py:45(__hash__)
   125067    0.025    0.000    0.032    0.000 z3.py:64(_is_int)
    11281    0.007    0.000    0.032    0.000 z3.py:402(hash)
    15844    0.004    0.000    0.031    0.000 {built-in method builtins.hash}
    40338    0.021    0.000    0.029    0.000 z3printer.py:313(<listcomp>)
        3    0.000    0.000    0.029    0.010 utils.py:47(pvars2objects)
        3    0.000    0.000    0.029    0.010 utils.py:156(condition_str2objects)
      292    0.000    0.000    0.026    0.000 PDDLz3.py:88(<lambda>)
    61739    0.018    0.000    0.025    0.000 z3printer.py:380(space_upto_nl)
      365    0.000    0.000    0.025    0.000 z3.py:1133(<listcomp>)
    39438    0.011    0.000    0.025    0.000 z3.py:3737(is_bv_value)
      190    0.000    0.000    0.025    0.000 scoping.py:35(<lambda>)
       91    0.000    0.000    0.024    0.000 z3.py:7667(as_expr)
      190    0.000    0.000    0.024    0.000 z3.py:323(__repr__)
    39438    0.012    0.000    0.024    0.000 z3.py:9089(is_fprm_value)
       91    0.000    0.000    0.023    0.000 z3.py:5469(as_expr)
    39438    0.010    0.000    0.022    0.000 z3.py:7360(is_finite_domain_value)
      172    0.000    0.000    0.022    0.000 scoping.py:10(<lambda>)
    39438    0.011    0.000    0.022    0.000 z3.py:9226(is_fp_value)
    54463    0.018    0.000    0.021    0.000 z3printer.py:373(__init__)
    78876    0.015    0.000    0.021    0.000 z3.py:9213(is_fp)
        4    0.000    0.000    0.020    0.005 PDDLz3.py:29(make_str2var_dict)
        8    0.001    0.000    0.020    0.003 PDDLz3.py:9(make_z3_atoms)
      365    0.001    0.000    0.020    0.000 z3.py:1118(_reduce)
    11281    0.011    0.000    0.019    0.000 z3core.py:2797(Z3_get_ast_hash)
     2157    0.002    0.000    0.018    0.000 z3printer.py:586(pp_int)
    63398    0.013    0.000    0.017    0.000 z3.py:8119(is_probe)
      363    0.001    0.000    0.016    0.000 z3.py:1669(Not)
      316    0.001    0.000    0.015    0.000 z3.py:6671(check)
     7284    0.004    0.000    0.015    0.000 z3printer.py:554(is_infix_unary)
        2    0.002    0.001    0.015    0.008 utils.py:69(writeback_problem)
180604/180572    0.013    0.000    0.014    0.000 {built-in method builtins.len}
    39438    0.010    0.000    0.014    0.000 z3.py:3724(is_bv)
     2157    0.002    0.000    0.013    0.000 z3.py:2787(as_string)
    63152    0.013    0.000    0.013    0.000 {method 'encode' of 'str' objects}
      548    0.001    0.000    0.013    0.000 z3.py:3045(Int)
       92    0.000    0.000    0.013    0.000 utils.py:133(split_conj)
        1    0.000    0.000    0.013    0.013 PDDLz3.py:64(<listcomp>)
    39438    0.009    0.000    0.012    0.000 z3.py:7307(is_finite_domain)
    39438    0.009    0.000    0.012    0.000 z3.py:9077(is_fprm)
    13491    0.005    0.000    0.011    0.000 z3printer.py:542(is_infix)
      130    0.000    0.000    0.011    0.000 skill_classes.py:31(__eq__)
    39438    0.008    0.000    0.011    0.000 z3.py:10130(is_string_value)
      316    0.011    0.000    0.011    0.000 z3core.py:3827(Z3_solver_check_assumptions)
   120972    0.011    0.000    0.011    0.000 {built-in method builtins.getattr}
     2157    0.007    0.000    0.011    0.000 z3core.py:2847(Z3_get_numeral_string)
  621/534    0.001    0.000    0.011    0.000 PDDLz3.py:233(<listcomp>)
      323    0.000    0.000    0.011    0.000 z3.py:6509(push)
    37628    0.010    0.000    0.010    0.000 {method 'decode' of 'bytes' objects}
      323    0.010    0.000    0.010    0.000 z3core.py:3741(Z3_solver_push)
     1212    0.009    0.000    0.010    0.000 z3core.py:3758(Z3_solver_assert)
    31003    0.007    0.000    0.010    0.000 z3.py:1414(subsort)
       86    0.000    0.000    0.009    0.000 PDDLz3.py:46(<listcomp>)
      104    0.000    0.000    0.009    0.000 z3.py:2252(__add__)
        9    0.008    0.001    0.008    0.001 {built-in method io.open}
     5690    0.002    0.000    0.008    0.000 z3printer.py:369(flat)
    65854    0.008    0.000    0.008    0.000 {method 'write' of '_io.StringIO' objects}
     9579    0.003    0.000    0.007    0.000 z3printer.py:401(indent)
    29698    0.007    0.000    0.007    0.000 {method 'getvalue' of '_io.StringIO' objects}
       95    0.001    0.000    0.007    0.000 z3.py:1732(Or)
     1953    0.005    0.000    0.007    0.000 z3printer.py:481(pp_line_break)
     9112    0.002    0.000    0.007    0.000 z3printer.py:545(is_unary)
    13491    0.004    0.000    0.006    0.000 z3printer.py:204(_is_infix)
